kp_chi,ki_chi,kp_phi,kd_phi,ki_phi,t_rise,t_set,overshoot
1.6953907816,0.3647294589,2.5250501002,1.370741483,0.5270541082,2.03774286566919,100,1236.60243841134
1.7975951904,0.2805611222,1.6533066132,0.8326653307,0.9619238477,1.82501508072977,100,1012.5243544146
1.6472945892,0.8537074148,2.3206412826,1.4789579158,0.3687374749,1.58632757213443,100,19719.1526295969
2.8977955912,0.5691382766,2.6693386774,1.496993988,0.2284569138,2.1197994459768,100,1462.98363310935
1.5150300601,0.875751503,2.5731462926,0.3486973948,0.3647294589,1.48682283103638,100,1118.09256867197
2.8136272545,0.997995992,2.6813627255,1.130260521,0.6072144289,1.46798771445285,100,29052.8216928042
1.3106212425,0.5430861723,0.5350701403,0.6372745491,0.9038076152,1.57889621589737,49.7866718556234,1736.00033929858
0.9318637275,0.7014028056,0.619238477,0.1052104208,0.3527054108,1.55094523024609,100,74.7669917289497
2.8617234469,0.5831663327,2.5130260521,0.625250501,0.5671342685,1.66282129618646,100,4844.31622621928
1.3226452906,0.9739478958,1.1122244489,1.0701402806,0.5370741483,1.43988053200335,100,818.173257044958
1.755511022,0.0220440882,1.2084168337,1.3046092184,0.7955911824,3.56603312385677,33.7334908223166,52.4899468443423
2.627254509,0.3006012024,1.9539078156,0.0450901804,0.7935871743,1.48904506129992,10.2656409193005,35.3379008723446
2.2665330661,0.3486973948,2.7054108216,1.0911823647,0.9859719439,1.63378182294634,100,14052.7827433805
1.3466933868,0.1763527054,2.1943887776,1.3587174349,0.3667334669,2.72755580329877,100,1559.8547357582
0.9138276553,0.1503006012,1.8456913828,0.7244488978,0.2344689379,3.06405111133967,100,725.286144108315
0.5110220441,0.372745491,2.8316633267,0.6853707415,0.9018036072,1.73574247279998,100,2008.71646018585
1.1002004008,0.4488977956,0.3246492986,0.0721442886,0.9218436874,1.29084934452512,26.1647481892533,89.1001629225962
0.9438877756,0.5070140281,1.1182364729,0.6432865731,0.5250501002,1.81289726060378,100,1292.79872346067
