phi_gains_1,phi_gains_2,phi_gains_3,chi_gains_1,chi_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,h_gains_1,h_gains_2,h_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
6.3976595319,0.1172234447,0.8541708342,0.700060012,0.2452490498,-0.224764953,-0.442288458,0.1100220044,1.3689117824,0.7681536307,0.4588333667,0.7094758952,0.9291018204,7.0093391635295,100,16.8807152109115,1.38680098716888,100,83.6680587043149,27.1914228815095,33.1988116130812
4.526185237,0.0300060012,0.3334666933,3.375575115,0.5653130626,-4.656891378,-0.524704941,0.8797759552,2.1482876575,0.424284857,0.3503202641,0.669669934,0.8986037207,6.14132465436754,12.1654693538265,18.1863968652479,1.96227080041815,4.98886178834582,1.81055803278438,12.2078239614884,100
0.125745149,0.6281256251,0.7725545109,7.2769553911,0.2778555711,-5.694618924,-0.764552911,0.7767553511,8.7849729946,0.1688337668,0.6153080616,0.9552430486,0.8077035407,2.71064578802626,100,69366.7661120471,1.3549916492932,100,3.87549911317024,100,100
8.750370074,0.4900980196,0.4876975395,5.1163432687,0.9777955591,-7.94434887,-0.623924785,0.3708741748,5.1099159832,0.1898379676,0.2144290858,0.2676495299,0.1193178636,6.07553937342318,100,64258.8342171446,1.98648181055225,100,7.004636033819,100,100
7.0373274655,0.5561112222,0.5339067814,6.2115023005,0.4910982196,-0.557471494,-0.764752951,0.9633926785,2.56994999,0.1722344469,0.5825343069,0.3062672535,0.2183376675,7.02872172346423,9.25974474013355,4.37713972373825,1.64031406317045,100,15.2708182851638,9.61961656739191,100
9.7920584117,0.2924584917,0.4912982597,7.5839167834,0.325865173,-6.429345869,-0.806961392,0.8181636327,3.7330186037,0.7797559512,0.7731816363,0.6704620924,0.5033166633,6.37706848083834,12.9798164970611,3.91698153905651,1.92467231064451,16.1428462467129,3.28751552453503,15.4948818955636,100
4.1301060212,0.8609721944,0.5155031006,5.3262652531,0.5091018204,-9.847509502,-0.335267053,0.1266253251,0.4136767353,0.6959391878,0.4814152831,0.3195359072,0.0206941388,6.20106501761706,12.8010683519804,10.0424710653825,2.06634105031345,100,243.602098014687,13.0709582929496,13.4097477270413
7.6710542108,0.8769753951,0.8051610322,7.4235047009,0.1804360872,-5.288637728,-0.332066413,0.8625725145,7.390090018,0.9655931186,0.1978423685,0.8803840768,0.4997519504,6.14604141843138,100,3.11540905493164,1.90221581024346,100,0.840088164127972,100,100
2.0704940988,0.4298859772,0.9387877576,2.1833766753,0.3262652531,-4.664812963,-0.809561912,0.5369073815,9.1406881376,0.7267453491,0.4730220044,0.6902660532,0.2236847369,6.25954013561703,41.5719912565583,56.2703055240991,1.95448170677248,42.2534498652541,12.5355485252688,41.9535710308636,100
3.6092618524,0.0816163233,0.774154831,3.2983396679,0.0788157632,-2.628965793,-0.826565313,0.7637527506,2.7338187638,0.7135427085,0.4812154431,0.6138227646,0.5756011202,6.00511118661644,8.9932986381363,1.96983780625115,1.92359005767019,6.83027316729708,4.19961033052212,7.82630881418089,100
4.8450290058,0.0866173235,0.451090218,7.6195639128,0.3396679336,-3.66075215,-0.938987798,0.2712542509,9.9660272054,0.2524504901,0.1262996599,0.9970294059,0.9730666133,5.96073909191519,12.6751616335365,4.73756809587624,2.17613971149854,100,1.70327051550807,12.847236643283,49.6245292703998
4.5440088018,0.8879775955,0.3852770554,0.5634126825,0.5029005801,-4.345969194,-0.678335667,0.849169834,0.2358191638,0.3980796159,0.0841334267,0.6690758152,0.4785617123,6.23568412081741,100,98.7610524129486,1.93905486874417,29.018677839941,6.57785797955217,38.6092750346944,24.4285825106591
9.174174835,0.7553510702,0.6979395879,2.8230446089,0.7717543509,-6.623424685,-0.104020804,0.8443688738,0.4376575315,0.9779955991,0.0183860772,0.0880276055,0.6261012202,4.13947494088565,100,41.9986947648318,5.21316113781101,100,0.780817614352092,100,100
4.6430286057,0.3600720144,0.3614722945,9.4870774155,0.6139227846,-1.615003001,-0.784956991,0.1418283657,2.713834767,0.4066813363,0.8944844969,0.4496479296,0.9219723945,7.53856623736232,9.34952569058388,2.2420154135022,2.34145050761461,28.8371794303134,26.6002977286635,8.72044809498691,100
9.5266853371,0.1854370874,0.1448289658,3.6171834367,0.9835967193,-6.474894979,-0.75415083,0.3160632126,6.7226245249,0.4836967393,0.5723424685,0.124664933,0.7019503901,6.78396821522381,30.713916144011,20.9683403362162,2.03549915729429,49.831187060516,30.413454686082,30.7177282290687,45.2193398095981
9.1405081016,0.4850970194,0.1620324065,2.9458291658,0.9867973595,-4.692538508,-0.087417483,0.9083816763,4.6662712543,0.9721944389,0.3189453891,0.9673234647,0.6409541908,4.98097802624134,100,383392.758732664,1.8881934134719,100,1.72253460119347,100,100
1.4902380476,0.6919383877,0.1834366873,0.401020204,0.9297859572,-8.833546709,-0.282656531,0.1902380476,9.944044809,0.1788357672,0.6894486897,0.1712042408,0.0642628526,5.85393675933322,100,204.392291901626,1.94644915231287,49.2775566068748,2.38966201526887,40.0703113446224,100
2.5378675735,0.875775155,0.5295059012,8.6810562112,0.2094418884,-2.878495699,-0.314862973,0.1600320064,6.4068773755,0.6091218244,0.8802958592,0.5649069814,0.6562032406,5.38546886638508,8.46253214697068,8.94167606380205,2.29704620131367,9.2915711076627,3.65066410829975,10.5280862903547,100
0.8842368474,0.1770354071,0.3712742549,3.5934186837,0.8307661532,-6.530346069,-0.285057011,0.5173034607,6.8924884977,0.7379475895,0.3039573915,0.6171894379,0.0682236447,5.42976811205333,11.7115024345383,11.6993458396853,1.68543831396374,3.18966052989921,1.81188243988699,11.9522923741924,100
3.4547909582,0.2124424885,0.5719143829,1.4367673535,0.5897179436,-2.490338068,-0.538307662,0.3770754151,9.9680256051,0.3776755351,0.3725025005,0.3745909182,0.1331806361,5.79900955398468,40.4810634131862,11.6976066414902,2.08010202318452,49.6977999624507,3.50561425329385,39.7168397648926,100
4.5578715743,0.9275855171,0.7981596319,4.2568513703,0.9093818764,-5.821364273,-0.765753151,0.698939788,8.9208641728,0.1396279256,0.4400484097,0.6645209042,0.6130306061,6.12317564700293,100,7553.6931214128,1.85117280079661,100,6.47691452679122,100,100
8.10080016,0.4098819764,0.9897979596,1.8684936987,0.8381676335,-1.759571914,-0.454290858,0.7765553111,7.3161492298,0.6325265053,0.2018391678,0.5369833967,0.366075215,6.61450208958844,100,24.3832929331276,1.89288155605803,100,3.11097423831361,100,100
0.5455891178,0.3090618124,0.1608321664,1.3872574515,0.3212642529,-2.959691938,-0.688737748,0.274454891,2.5279835967,0.2402480496,0.956434887,0.8126545309,0.8659271854,6.65266549578856,21.9484758497342,5.26766793292055,2.3089704138171,100,9.45841785729795,16.4516332322463,49.9230820818007
7.5344068814,0.9027805561,0.3526705341,0.2089217844,0.7375475095,-6.363992799,-0.48829766,0.9865973195,3.8928905781,0.8335667133,0.6670666133,0.0739667934,0.3759771954,7.81628692632556,100,115.185926514918,1.65649580707374,4.13101705795287,2.33205558132232,45.7236292443173,100
4.8984996999,0.8799759952,0.8817763553,6.9303860772,0.3018603721,-4.462812563,-0.570514103,0.1274254851,7.3561172234,0.4830966193,0.9652278456,0.0915923185,0.8324584917,5.51914033316134,10.6309256310201,10.590638311286,2.2130252474049,27.1226328081221,3.52086837497396,17.8777242740814,100
7.4175635127,0.2774554911,0.4812962593,9.6474894979,0.49889978,-9.871274255,-0.296059212,0.7643528706,6.290970194,0.4382876575,0.1624706941,0.3941968394,0.5686697339,6.66428532033521,100,11.2823901368203,1.83231618684936,100,14.554858224761,100,100
7.3027005401,0.7377475495,0.6423284657,3.4409281856,0.0438087618,-6.356071214,-0.048809762,0.1314262853,3.5211882376,0.6235247049,0.3089533907,0.0333686737,0.785325065,4.77044095905407,10.5029309790618,4.3381652656592,2.12188196744992,100,3.36347674335633,10.5231252077065,47.6223194339471
9.8970194039,0.0980196039,0.1668333667,6.8887977596,0.1362272454,-3.779575915,-0.220044009,0.3078615723,7.4980036007,0.724544909,0.5917269454,0.4573714743,0.9558371674,6.57411815647413,19.8524460992527,7.83295300507518,2.12787333203529,4.70877406836487,1.31241943268146,17.3732808222887,100
