phi_gains_1,phi_gains_2,phi_gains_3,chi_gains_1,chi_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,h_gains_1,h_gains_2,h_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
0.604040404,0.303030303,0.4191919192,1.1060606061,0.0366666667,-1.98989899,-0.248484848,0.3686868687,0.0133333333,0.0054646465,0.0051111111,0.2292929293,0.5363636364,6.70924925973687,29.5744050117539,9.12544826235537,3.7033901275295,23.3795104087395,1.27251545541289,6.14211675413523,0.851858870255987
0.9878787879,0.2828282828,0.2777777778,1.0606060606,0.0394949495,-1.868686869,-0.43030303,0.3565656566,0.0111111111,0.004979798,0.0032525253,0.203030303,0.5090909091,7.52102009490866,25.4591608776397,3.8162783750388,100,100,0,1.44768201968873,0.578171344621037
0.8303030303,0.0767676768,0.2090909091,1.0151515152,0.0472727273,-1.727272727,-0.2,0.6717171717,0.0181818182,0.0043333333,0.0024848485,0.2484848485,0.4878787879,7.62578689706925,24.6633829011385,3.18217362940802,100,100,0,0.488813585551411,0.857045747749726
0.6080808081,0.2303030303,0.1,1.3939393939,0.0306565657,-1.606060606,-0.353535354,0.5181818182,0.0185858586,0.0036060606,0.0022020202,0.2444444444,0.5106060606,6.24858672065354,26.422902636799,2.2491558086571,100,100,0,7.11972337830601,0.449511849737445
0.6202020202,0.3555555556,0.1404040404,1.3181818182,0.0334848485,-1.525252525,-0.418181818,0.6595959596,0.0122222222,0.0063939394,0.0027272727,0.2181818182,0.503030303,5.86891336496781,28.8236965964103,4.4076532651067,5.78339383149608,7.17129316644927,0,6.96139274867477,1.52619809902143
0.7818181818,0.2626262626,0.2131313131,1.4848484848,0.0550505051,-1.404040404,-0.288888889,0.5222222222,0.0143434343,0.0068787879,0.0041010101,0.2636363636,0.5909090909,6.04485997479928,22.3264170302042,3.75878038329662,6.49414652723057,7.79646963692715,0,6.23036673202233,0.432233887550806
0.6444444444,0.0444444444,0.2212121212,1.0707070707,0.0476262626,-1.464646465,-0.478787879,0.4373737374,0.0176767677,0.0046969697,0.0021212121,0.2888888889,0.5818181818,7.31279481977489,25.5948238847047,4.08240715180406,100,100,0,1.07165445507753,1.14653666103441
0.9434343434,0.3838383838,0.4232323232,1.4545454545,0.0515151515,-1.545454545,-0.208080808,0.6232323232,0.0113131313,0.0053030303,0.0048282828,0.2565656566,0.4727272727,6.05186177834995,21.579006059127,19.2989302009564,3.57352539726637,100,3.41528964622728,8.11413843245003,18.9347503132851
0.7494949495,0.2909090909,0.4151515152,1.1515151515,0.0433838384,-1,-0.317171717,0.6151515152,0.0167676768,0.0068383838,0.002,0.297979798,0.5045454545,6.46852691605449,24.5276830903056,8.79940457979036,100,100,0,2.62870134612876,1.16151846530213
0.8787878788,0.1414141414,0.1161616162,1.0909090909,0.0416161616,-1.585858586,-0.450505051,0.6757575758,0.0105050505,0.0046565657,0.0040606061,0.3,0.5636363636,6.9852800275911,22.5963842930391,2.7807772824191,100,100,0,0.651997892267045,0.740357050673596
0.7696969697,0.3191919192,0.2252525253,1.4595959596,0.0486868687,-1.161616162,-0.539393939,0.6515151515,0.0197979798,0.0063131313,0.0028888889,0.2373737374,0.5545454545,5.90512021988158,23.2711147118937,4.09853689889801,5.1789948930625,7.18192689472081,0,6.23232609541476,2.32373182743427
0.7252525253,0.2747474747,0.3585858586,1.0202020202,0.035959596,-1.111111111,-0.535353535,0.4494949495,0.0166666667,0.0064747475,0.005030303,0.2282828283,0.453030303,6.00887114809255,26.3317993430944,13.9080368276801,4.45034104212916,23.5120711111836,4.1908661484882,2.78756634415468,17.3930553684618
0.9191919192,0.1777777778,0.3505050505,1.4747474747,0.0589393939,-1.414141414,-0.442424242,0.396969697,0.0123232323,0.0059494949,0.0058383838,0.2131313131,0.5015151515,6.23908282796098,20.5922559554331,4.75122123001259,4.20348969078177,36.7500299641166,2.93511971189144,1.33538736878215,28.145840431831
0.6363636364,0,0.1242424242,1.2525252525,0.0440909091,-1.777777778,-0.490909091,0.5060606061,0.0147474747,0.0058686869,0.0036969697,0.202020202,0.5681818182,6.66281077529152,20.2539872320012,2.62138891835209,100,100,0,0.366170649560245,0.843565421987051
0.9555555556,0.0565656566,0.2575757576,1,0.0288888889,-1.797979798,-0.426262626,0.4050505051,0.0132323232,0.0037272727,0.0059191919,0.2404040404,0.4803030303,8.08945896658663,27.7832131326788,2.68973079627011,3.81434827412328,5.05376200929925,0.740837106206338,0.647378944829065,0.5017370871535
0.9636363636,0.3111111111,0.4070707071,1.2070707071,0.0303030303,-1.808080808,-0.434343434,0.5626262626,0.0174747475,0.005020202,0.0047474747,0.2515151515,0.45,7.04196064949026,27.385092979789,4.67967317130127,3.18559868313817,15.4226147939011,2.06963068131847,1.74025412538241,0.732471112806645
0.8383838384,0.3353535354,0.297979798,1.4646464646,0.0596464646,-1.888888889,-0.482828283,0.4212121212,0.0153535354,0.003969697,0.0037373737,0.2686868687,0.5848484848,5.74428882606752,20.233910111486,5.29273175056706,3.10856153481329,18.4571942535939,4.21208007785596,6.34676937224159,9.48776148131952
0.6,0.1858585859,0.1202020202,1.0101010101,0.0398484848,-2,-0.272727273,0.4090909091,0.0134343434,0.0041313131,0.0036161616,0.2737373737,0.5287878788,7.41066133923577,27.9679533206098,3.4836390087575,100,100,0,5.31101042255048,0.352133404307461
