phi_gains_1,phi_gains_2,phi_gains_3,chi_gains_1,chi_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,h_gains_1,h_gains_2,h_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
0.6326530612,0.1897959184,0.1224489796,0.9836734694,0.0204081633,-2.693877551,-0.457142857,0.0306122449,0.012244898,-0.010204082,0.0045918367,0.2775510204,0.4163265306,13.196302132,19.51793703,0.617526161,2.6583297856,100,7.0328437274,3.5404757642,41.404519459
0.8571428571,0.0612244898,0.1306122449,0.787755102,0.0102040816,-2.795918367,-0.436734694,0.3979591837,0.0159183673,-0.173469388,0.0031632653,0.2755102041,0.4408163265,13.293466185,100,43801.44936,100,100,0,100,100
0.6530612245,0.0979591837,0.3510204082,0.8693877551,0.0918367347,-2.132653061,-0.495918367,0.4897959184,0.0169387755,0.0510204082,0.0044285714,0.2448979592,0.4285714286,14.035031955,100,8684.8342609,100,100,0,100,100
0.8469387755,0.1836734694,0.3673469388,0.9673469388,0.0142857143,-2.744897959,-0.459183673,0.2040816327,0.0181632653,0.4183673469,0.0038163265,0.2918367347,0.5265306122,14.481757866,100,1379.5954306,100,100,0,100,100
0.6428571429,0,0.3183673469,0.9020408163,0.0326530612,-2.642857143,-0.440816327,0.4387755102,0.0126530612,0.112244898,0.0038979592,0.2673469388,0.5755102041,15.261582378,100,6345.5818641,100,100,0,100,100
0.7244897959,0.0551020408,0.0571428571,0.5591836735,0.0020408163,-1.163265306,-0.467346939,0.1224489796,0.0151020408,-0.316326531,0.0041428571,0.2857142857,0.5346938776,16.222229751,100,0,100,100,0,100,100
0.8979591837,0.1285714286,0.212244898,0.6734693878,0.0265306122,-1.87755102,-0.497959184,0.4183673469,0.0124489796,0.4795918367,0.0041836735,0.2591836735,0.5020408163,21.754303121,100,5748.733119,100,100,0,100,100
0.5102040816,0.1040816327,0.1469387755,0.8530612245,0.0673469388,-1.06122449,-0.404081633,0.4591836735,0.0112244898,0.1326530612,0.0041020408,0.212244898,0.506122449,25.341628696,100,4585.720682,100,100,0,100,100
0.5816326531,0.2693877551,0.1387755102,0.3142857143,0.0571428571,-0.908163265,-0.485714286,0.5,0.0146938776,-0.030612245,0.0046734694,0.2346938776,0.4448979592,29.755161088,100,21397.691081,100,100,0,100,100
0.5714285714,0.293877551,0.0734693878,0.2489795918,0.0734693878,-1.571428571,-0.442857143,0.2653061224,0.0140816327,0.3979591837,0.0030816327,0.2897959184,0.4897959184,32.923328189,100,4801.5820898,100,100,0,100,100
