chi_gains_1,chi_gains_2,phi_gains_1,phi_gains_2,phi_gains_3,h_gains_1,h_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
23.3703478295659,1.98729613922785,1.54830966193239,67.9506466293259,84.0404155831166,-19.0606126425285,-1.88913064612923,4.50090018003601,0.768987357471494,0.019861192238448,0.294576595319064,0.401180924864973,0.0122258115224851,100,184243.361256548,100,100,0,100,100
38.4319275855171,0.967044868973795,0.907181436287257,7.70085429085817,33.9568557911582,-30.7571799559912,-6.4930699539908,1.82236447289458,0.182769473894779,0.450251970394079,0.48309125825165,0.752189500260052,0.0250107887407482,100,112867.411771844,100,100,0,100,100
33.7982874574915,3.68511886377275,3.37267453490698,54.623674694939,321.570765413083,-44.2802112422485,-2.46503324664933,3.22364472894579,0.781338787757552,0.545775555111022,0.300004080816163,0.41242605085017,0.00442826393628115,100,50889.6138393332,100,100,0,100,100
10.5671053010602,0.941084276855371,3.64772954590918,16.610250570114,347.731515443089,-36.5874688937788,-6.15179433886777,0.014002800560112,0.097101220244049,0.807396119223845,0.262373514702941,0.810222382576515,0.0671574252505018,100,86560.4356191841,100,100,0,100,100
3.38721244248849,0.281685237047409,3.3246649329866,173.823972414483,349.506433586717,-14.076075495099,-3.91709535907181,4.95699139827966,0.622353710742148,0.78601024204841,0.2656300060012,0.772671694018804,0.00237596514291205,100,53343.378313445,100,100,0,100,100
34.9049626725345,3.02225841168234,4.36987397479496,149.768602460492,259.911652510502,-11.2778966993399,-3.2197773954791,2.31346269253851,0.305016963392678,0.011663272654531,0.362601080216043,0.895765662392478,0.00935553107871767,100,110580.35151391,100,100,0,100,100
16.3704021604321,4.1965425285057,1.19523904780956,167.216170174035,205.506552890578,-41.3740641328266,-2.31900666133227,3.69273854770954,0.381025765153031,0.352233366673335,0.17770474094819,0.466643622564513,0.0013858519894292,100,587935.628466746,100,100,0,100,100
18.6917209041808,3.64877403480696,4.57791558311662,156.413527185437,374.741139367874,-23.5772870974195,-6.10749413882777,0.139027805561112,0.325285977195439,0.445618363672735,0.431349229845969,0.187523531146229,0.0130025669739613,100,64319.4857186499,100,100,0,100,100
1.35380920184037,3.28099897979596,1.52030406081216,150.214072274455,90.5998956791358,-5.82549685937187,-0.865303800760152,4.24184836967394,0.066697699539908,0.234967473494699,0.249528465693139,0.506202369333867,0.0379460835115881,100,944754.964802794,100,100,0,100,100
44.2802112422485,1.49231418283657,2.125425085017,127.198131886377,235.834502040408,-43.3174937787558,-6.03037897579516,3.29765953190638,0.697254050810162,0.808643628725745,0.367485817163433,0.487929039607922,0.00041228322261766,100,220151.362703608,100,100,0,100,100
23.6852554110822,2.00633390678136,4.84796959391878,149.063275255051,14.6642672734547,-24.2880784956991,-0.394409081816363,0.544108821764353,0.664316903380676,0.131602400480096,0.782869373874775,0.373871333186637,0.0323256673200691,100,25805.9052919866,100,100,0,100,100
34.26615015003,1.1574225445089,4.82696539307862,50.3174664932987,209.596581656331,-1.89365077015403,-3.99585127025405,1.66433286657331,0.605568433686738,0.185779955991198,0.629090618123625,0.573070707781556,0.00211952449580899,100,482.457936218873,100,100,0,100,100
44.4691557911582,3.5345474294859,0.631126225245049,173.564115023005,383.692900440088,-23.8831973194639,-1.79560800160032,1.45129025805161,0.074140228045609,0.753218563712743,0.396070574114823,0.460619447929586,0.023877460364043,100,92913.281627212,100,100,0,100,100
4.90776619323864,3.48868371674335,0.989197839567914,140.042511522305,299.345703440688,-19.1145967993599,-4.13531486297259,4.01080216043209,0.297891138227646,0.39179723944789,0.657313542708542,0.143948667953591,0.0404280696276706,100,247529.812985734,100,100,0,100,100
6.38333314662932,2.44766397279456,4.624924984997,2.20672658531707,18.3684442688537,-25.3407695539108,-0.850537067413483,0.582116423284657,0.561546669333867,0.879929885977196,0.67413874774955,0.116237464632927,0.00778669498583096,100,166337.383329334,100,100,0,100,100
6.04143348669734,2.86995627125425,0.891178235647129,53.2501427685537,267.474347209442,-35.0849098619724,-0.151578355671135,2.74854970994199,0.371524664932987,0.833772034406882,0.828279335867173,0.506001563512703,0.0123078023370242,100,90444.2478016771,100,100,0,100,100
